STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,DATA_ITEM,Data Item,SECTOR,Sector,TSEST,Adjustment Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2003-Q1,,1387,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2003-Q2,,1415,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2003-Q3,,1438,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2003-Q4,,1463,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2004-Q1,,1496,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2004-Q2,,1524,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2004-Q3,,1554,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2004-Q4,,1583,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2005-Q1,,1613,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2005-Q2,,1645,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2005-Q3,,1675,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2005-Q4,,1708,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2006-Q1,,1740,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2006-Q2,,1781,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2006-Q3,,1828,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2006-Q4,,1853,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2007-Q1,,1881,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2007-Q2,,1913,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2007-Q3,,1935,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2007-Q4,,1983,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2008-Q1,,2022,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2008-Q2,,2060,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2008-Q3,,2099,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2008-Q4,,2148,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2009-Q1,,2192,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2009-Q2,,2234,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2009-Q3,,2258,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2009-Q4,,2295,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2010-Q1,,2338,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,FCE_RDSH,Final consumption expenditure - Rent and other dwelling services,PHS,Households,20,Seasonally Adjusted,4,South Australia,Q,Quarterly,2010-Q2,,2386,,NA,Not Applicable,0,Units,,,,
