STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,DATA_ITEM,Data Item,SECTOR,Sector,TSEST,Adjustment Type,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2019-Q1,,2139,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2004-Q4,,1030,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2004-Q3,,1024,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2004-Q2,,1009,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2004-Q1,,859,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2003-Q4,,933,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2003-Q3,,816,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2003-Q2,,778,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2003-Q1,,891,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2009-Q2,,1737,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2009-Q1,,1731,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2008-Q4,,1759,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2008-Q3,,1758,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2008-Q2,,1755,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2008-Q1,,1722,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2007-Q4,,1686,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2007-Q3,,1529,,NA,Not Applicable,0,Units,,,,
DATAFLOW,ABS:ANA_SFD(1.0.0),Australian National Accounts - State Final Demand,I,C,Current prices,GFC,Gross fixed capital formation,GSS,Public,20,Seasonally Adjusted,5,Western Australia,Q,Quarterly,2007-Q2,,1354,,NA,Not Applicable,0,Units,,,,
