city,state,quarter,year,qtr,rents,prop_price,dwell_total,dwell_private,dwell_public,net_overseas,net_interstate,net_migration,wpi,employment,labor_income,gfcf_public,gfcf_private,housing_services,cash_rate,prop_price_8cities,treated,post_2017,treat_post
Adelaide,SA,1/09/2006,2006,3,79.1,75.6,2777,2629,149,3480,-1051,2429,91.5,756.1,8181,701,3599,1828,5.9133,80,0,0,0
Adelaide,SA,1/12/2006,2006,4,79.9,77,2410,2230,180,4820,-1032,3788,92.6,760,8461,663,3673,1853,6.1467,80.9,0,0,0
Adelaide,SA,1/03/2007,2007,1,80.6,81.6,2394,2248,146,2630,-784,1846,93.1,754.7,8749,613,3944,1881,6.25,84.3,0,0,0
Adelaide,SA,1/06/2007,2007,2,81.7,86.6,2914,2751,162,3350,-887,2463,94.8,756.9,8827,665,3862,1913,6.25,87.5,0,0,0
Adelaide,SA,1/09/2007,2007,3,82.2,92.4,3000,2801,199,3020,-957,2063,95.9,764.6,8810,568,3670,1935,6.4,91.2,0,0,0
Adelaide,SA,1/12/2007,2007,4,83.6,95.3,2530,2340,190,5240,-1349,3891,96.8,773,8863,738,3767,1983,6.65,91.8,0,0,0
Adelaide,SA,1/03/2008,2008,1,84.7,94.6,2967,2859,108,3720,-1023,2697,97.4,776.8,9336,697,3718,2022,6.9767,91,0,0,0
Adelaide,SA,1/06/2008,2008,2,85.7,94.5,2876,2804,73,4710,-1126,3584,98.5,778.6,9401,851,3932,2060,7.25,88.7,0,0,0
Adelaide,SA,1/09/2008,2008,3,86.8,94.2,3020,2946,73,3950,-1416,2534,99.9,788.7,9451,889,4059,2099,7.1733,87.5,0,0,0
Adelaide,SA,1/12/2008,2008,4,88.2,93.3,2737,2695,41,5570,-1146,4424,100.6,788.2,9737,910,3773,2148,5.2867,86.8,0,0,0
Adelaide,SA,1/03/2009,2009,1,89.4,95.8,2656,2598,58,3780,-708,3072,101,785.7,9687,990,4047,2192,3.6167,90.4,0,0,0
Adelaide,SA,1/06/2009,2009,2,90.4,97.6,3116,3038,77,4610,-405,4205,101.7,789.9,9666,947,3897,2234,3.02,94.4,0,0,0
Adelaide,SA,1/09/2009,2009,3,91.1,101.4,3218,3129,90,3230,-787,2443,102.3,786.1,9805,2061,4023,2258,3,99.6,0,0,0
Adelaide,SA,1/12/2009,2009,4,91.7,102.7,2857,2748,109,4360,-847,3513,103.2,791.4,9723,1448,3821,2295,3.4767,103.209,0,0,0
Adelaide,SA,1/03/2010,2010,1,92.7,104.7,3153,2882,271,2350,-666,1684,103.9,801.4,9899,1366,3778,2338,3.8267,104.6926,0,0,0
Adelaide,SA,1/06/2010,2010,2,94.3,104.4,2746,2363,383,2510,-805,1705,105.1,793.4,10195,1229,3890,2386,4.3967,103.8676,0,0,0
Adelaide,SA,1/09/2010,2010,3,94.8,105,3507,2841,666,1680,-712,968,106.3,803,10357,1451,3937,2416,4.5,102.3567,0,0,0
Adelaide,SA,1/12/2010,2010,4,95.8,103.3,2613,2301,312,2940,-397,2543,106.9,803.4,10644,1338,4059,2459,4.66,102.0289,0,0,0
